file	gender	duration_s	source	text
m01.wav	MALE	9.06	6101634200286525339.wav	Он не назвал цифру для сокращений бюджетов, сказав, что они будут сделаны исходя из производительности экономики Китая.
m02.wav	MALE	9.96	1663386367563524870.wav	Сплавы по существу представляют собой смесь двух или более металлов. Не забывайте, что в периодической таблице много элементов.
m03.wav	MALE	9.18	10128565049419377161.wav	Также может быть выгодно купить Wild Card, которая позволяет посещать национальные парки ЮАР либо выборочно, либо все.
m04.wav	MALE	9.06	11819089452160819792.wav	Не подвергайте ткань воздействию слишком высокой температуры (что может привести к усадке или в очень редких случаях к ожогу).
m05.wav	MALE	8.88	9512947010991634139.wav	В некоторых местах достаточно прокипятить воду в течение минуты, в других потребуется несколько минут.
m06.wav	MALE	9.48	11285557573880957462.wav	Апиа – столица Самоа. Город расположен на острове Уполу и имеет население чуть менее 40 000 жителей.
m07.wav	MALE	8.52	10467823443591459079.wav	Все во вселенной состоит из материи. Вся материя состоит из мельчайших частиц, называемых атомами.
m08.wav	MALE	6.84	15496908574838705108.wav	Она тоньше под лунными морями и толще под нагорьями.
m09.wav	MALE	8.46	16004562618608193556.wav	Вчера Мартейи привёл к присяге новый Временный избирательный совет (ВИС), состоящий из девяти участников.
m10.wav	MALE	9.42	17968273900305326459.wav	Учебные экскурсии очень важны для любого класса. Очень часто учителям хочется отвезти своих учеников туда, куда нельзя доехать на автобусе.
m11.wav	MALE	9.12	1328463586577772686.wav	Ученые смогли сделать вывод, что темная материя воздействует на другую темную материю так же, как и в случае с обычной материей.
m12.wav	MALE	7.32	869811187869392758.wav	Роландо Мендоса выстреливал из своей винтовки М16 в туристов.
m13.wav	MALE	8.28	8354611102452645030.wav	Львы — самые социальные кошки, живущие в больших группах, которые называются прайдами.
m14.wav	MALE	9.36	18275278966688835818.wav	Он также атаковал все, что входило в воду; даже гигантский динозавр, такой как тиранозавр, не сравнился бы с ним.
m15.wav	MALE	6.48	3284314201243234918.wav	Пещера располагается на вершине горы к северу от Мекки и полностью изолирована от остального мира.
f01.wav	FEMALE	9.24	256546497131055411.wav	Романтизм во многом включал в себя культурный детерминизм, почерпнутый у таких писателей, как Гёте, Фихте и Шлегель.
f02.wav	FEMALE	9.90	2049046211761935208.wav	Получите новую смесь, перемешав два сухих порошка в одной емкости, а затем чистыми влажными руками слепите из этой смеси шарик.
f03.wav	FEMALE	8.76	11523204250869539219.wav	Возможно, вам также следует проконсультироваться с другими правительствами, помимо своего, но их рекомендации направлены на своих граждан.
f04.wav	FEMALE	8.28	14556702407056757513.wav	Начальник полиции Чандра Шехар Соланки заявил, что обвиняемые были представлены перед судьями с закрытыми лицами.
f05.wav	FEMALE	8.88	18169680892133385832.wav	Как и во всех южноафриканских национальных парках, в этом парке существует ежедневная плата за его охрану и посещение.
f06.wav	FEMALE	7.32	11228434236630208774.wav	Стрекозы и поденки являются единственными насекомыми, которые не могут складывать крылья назад.
f07.wav	FEMALE	5.46	17041281135141463699.wav	Группа Aerosmith отменила оставшиеся концерты в своем турне.
f08.wav	FEMALE	7.92	10838393441389885104.wav	Сегрегация и рекомбинация с каждым поколением тасуют вариации между двумя пулами.
f09.wav	FEMALE	7.20	10024935581249406669.wav	Согласно ядерному управлению Японии, на заводе были обнаружены радиоактивный цезий и йод.
f10.wav	FEMALE	9.00	17899007345629936324.wav	Дети передаются под опеку по множеству разнообразных причин: от беспризорности до жестокого обращения и даже вымогательств.
f11.wav	FEMALE	7.56	10669014641440041936.wav	Он не смог принять препараты, необходимые для облегчения боли, так как они запрещены в Играх.
f12.wav	FEMALE	8.40	14299512421374728309.wav	Козы, по-видимому, впервые были одомашнены около 10 000 лет назад в иранских горах Загрос.
f13.wav	FEMALE	8.34	17432336624677464078.wav	Всего за 2 недели силы Свободной Франции и американцы освободили южную Францию и отправились в сторону Германии.
f14.wav	FEMALE	8.16	17112303779029568242.wav	Горячий шоколад отвечает стандартам Бельгии. Хотя фруктовые соки стоят дорого, они имеют превосходное качество.
f15.wav	FEMALE	9.78	16500255484316745557.wav	Слава о нем как о центре роскоши пошла около 400 г. н. э. и продолжалась примерно до 1100 г. н. э.
